CM0030_03M2	5738903.771	6599580.798	217.973
CM0030_03R	5738903.11	6599581.94	206.5138
CM0030_03T	5738903.774	6599580.791	221.639
CM0030_04B	5738917.162	6599581.881	209.51
CM0030_04M1	5738917.325	6599581.883	214.195
CM0030_04M2	5738917.346	6599581.886	218.01
CM0030_04R	5738916	6599582.33	206.5104
CM0030_04T	5738914.717	6599581.713	221.404
DL0550_01R	5739122.58	6597836.97	195.481
DL0550_02R	5739105.07	6597845.57	195.4579
DL0550_03R	5739089.73	6597853.04	195.4873
DL0550_04R	5739071.72	6597861.66	195.5272
DL0550_05R	5739056.72	6597869.23	195.4759
DL0550_06R	5739048.79	6597846.28	198.5959
DL0550_07R	5739060.36	6597834.35	198.2099
DL0550_08R	5739076.99	6597827.93	198.0433
DL0550_09R	5739093.26	6597826.18	197.8064
DL0550_10R	5739113.06	6597817.32	197.5945
DR1020_01R	5739451.43	6599224.58	199.3053
DR1020_01T	5739451.552	6599224.432	202.757
DR1020_02R	5739451.96	6599233.33	200.1031
DR1020_02T	5739452.326	6599233.325	203.821
DR1020_03R	5739452.28	6599228.58	199.4754
DR1020_04R	5739446.8	6599229.34	199.94
DR1021_01R	5739445.42	6599225	199.29
DR1021_01T	5739445.801	6599224.941	204.334
DR1021_02R	5739446.18	6599233.81	199.7865
DR1021_02T	5739446.536	6599233.809	205.547
DR1021_03R	5739438.78	6599234.29	199.5261
DR1021_04R	5739442.72	6599234.11	199.2952
DR1021_04T	5739434.033	6599233.454	205.266
DR1021_05R	5739440.5	6599234.26	199.2969
DR1021_06R	5739437.3	6599233.23	199.2868
DR1021_07R	5739434.03	6599233.47	199.1611
DR1021_08R	5739433.53	6599226.11	198.9772
DR1021_09R	5739437.25	6599225.8	199.0211
DR1021_10R	5739439.41	6599225.62	199.0557
DR1021_11R	5739441.97	6599225.41	199.1224
DR1021_12R	5739442.14	6599229.59	199.4019
DR1021_13R	5739439.6	6599229.39	200.4612
DR1021_14R	5739437.76	6599230.07	200.0796
DR1021_15R	5739434	6599229.92	200.1442
DR1022_01R	5739468.27	6599200.63	199.8597
DR1022_01T	5739468.514	6599200.801	202.686
DR1022_02R	5739466.94	6599207.6	199.9444
DR1022_02T	5739467.061	6599206.516	202.716
DR1022_03B	5739457.885	6599211.299	202.794
DR1022_03R	5739455.56	6599211.34	199.3578
DR1022_03T	5739457.833	6599211.4	211.08
DR1022_04B	5739449.924	6599212.047	202.697
DR1022_04R	5739445.61	6599212.33	199.2451
DR1022_04T	5739449.567	6599212.099	211.101
DR1022_05B	5739437.024	6599215.828	202.187
DR1022_05R	5739436.82	6599215.8	198.9259
DR1022_05T	5739436.84	6599215.822	213.109
DR1022_06B	5739430.731	6599203.973	204.389
DR1022_06R	5739430.72	6599203.98	199.7405
DR1022_06T	5739430.388	6599203.957	212.839
DR1022_07R	5739443.28	6599202.73	199.961
DR1022_07T	5739445.524	6599202.689	213.282
DR1022_08B	5739457.169	6599201.719	204.426
DR1022_08R	5739454.7	6599201.6	200.1113
DR1022_08T	5739457.046	6599201.732	213.005
DR1022_09R	5739462.38	6599200.92	200.0639
DR1022_10R	5739462.26	6599207.85	199.541
DR1022_11R	5739459.37	6599211.01	199.4741
DR1022_12R	5739452.63	6599211.66	199.2436
DR1022_13R	5739441.03	6599212.8	199.1134
DR1022_15R	5739440.86	6599208.11	199.8013
DR1022_16R	5739444.36	6599207.89	199.8495
DR1022_17R	5739448.07	6599207.56	199.8295
DR1022_18R	5739451.75	6599206.89	199.8812
DR1022_19R	5739455.58	6599206.21	199.29
DR1022_20R	5739436.75	6599203.4	199.7843
DR1022_21R	5739449.89	6599202.13	199.9826
DR1023_01R	5739431.75	6599217.77	198.7888
DR1023_01T	5739432.058	6599217.839	204.195
DR1023_02R	5739424.27	6599218.47	198.6554
DR1023_02T	5739423.731	6599218.598	204.261
DR1023_03R	5739423.01	6599204.64	199.7567
DR1023_03T	5739423.093	6599204.674	205.536
DR1023_06T	5739431.483	6599216.096	213.139
DR1024_01R	5739418.79	6599234.8	198.6753
DR1024_01T	5739419.215	6599233.489	201.67
DR1024_02R	5739418.36	6599227.28	198.7011
DR1024_02T	5739418.788	6599227.414	201.754
DR1710_01R	5739586.915	6598582.366	197.0571
DR1710_02R	5739603.216	6598578.88	197.3607
DR1710_03R	5739603.56	6598565.918	197.2823
DR1710_04R	5739586.08	6598569.797	197.1176
DR1710_05R	5739583.772	6598555.509	197.1503
DR1710_06R	5739600.123	6598552.268	197.1726
GAN_014_01R	5739738.063	6598836.751	203.2284
GAN_014_02R	5739738.219	6598822.792	203.2668
GAN_014_03R	5739741.697	6598803.919	203.3106
GAN_014_04R	5739753.59	6598804.902	203.5872
GAN_014_05R	5739753.277	6598818.591	203.8101
GAN_016_01R	5739745.8	6598712.775	204.1439
GAN_016_02R	5739731.159	6598712.495	204.1623
GAN_016_03R	5739731.101	6598723.423	204.1618
GAN_016_04R	5739745.387	6598723.67	204.2013
GAN_016_05R	5739761.624	6598723.946	204.2107
GAN_018_01R	5739762.728	6598671.112	204.0286
GAN_018_02R	5739746.315	6598670.79	203.9471
GAN_018_03R	5739732.349	6598670.517	204.0679
GAN_018_04R	5739732.349	6598681.392	204.1133
GAN_018_05R	5739746.205	6598681.667	204.1605
GAN_018_06R	5739762.559	6598681.996	204.1471
GAN_020_01R	5739763.221	6598629.282	203.648
GAN_020_02R	5739746.659	6598628.949	203.6495
GAN_020_03R	5739733.106	6598628.676	203.7798
GAN_020_04R	5739732.823	6598639.514	203.8363
GAN_020_05R	5739746.386	6598639.774	203.8211
GAN_020_06R	5739763.488	6598640.108	203.7082
GAN_022_01R	5739764.484	6598587.407	203.1899
GAN_022_02R	5739748.344	6598587.085	203.0913
GAN_022_03R	5739734.113	6598586.801	203.029
GAN_022_04R	5739733.81	6598597.658	203.2847
GAN_022_05R	5739748.139	6598597.953	203.3509
GAN_022_06R	5739764.195	6598598.283	203.3558
GAN_024_01R	5739749.48	6598545.36	202.7614
GAN_024_02R	5739734.881	6598545.049	202.7311
GAN_024_03R	5739734.693	6598555.948	202.8278
GAN_024_04R	5739748.735	6598556.236	202.84
GAN_026_01R	5739783.953	6598527.952	202.251
GAN_026_02R	5739774.062	6598527.745	202.363
GAN_026_03R	5739773.393	6598514.055	202.2862
GAN_026_04R	5739774.065	6598492.633	202.0997
GD0370_01B	5738571.267	6599909.576	212.967
GD0370_01M1	5738571.316	6599909.522	219.427
GD0370_01R	5738571.3	6599909.58	209.8037
GD0370_01T	5738571.314	6599909.534	227.696
GD0370_02B	5738581.771	6599908.006	213.01
GD0370_02M1	5738581.745	6599907.956	219.538
GD0370_02R	5738582.8	6599907.86	209.5779
GD0370_02T	5738581.798	6599907.931	227.671
GD0370_03B	5738594.035	6599906.204	212.949
GD0370_03M1	5738594.059	6599906.192	219.069
GD0370_03R	5738594.01	6599906.15	209.3755
GD0370_03T	5738594.041	6599906.202	227.482
GD0380_01B	5738507.712	6600007.8	212.807
GD0380_01R	5738507.46	6600007.87	210.0743
GD0380_02B	5738502.486	6600008.629	212.128
GD0380_02R	5738502.55	6600008.74	210.1009
GD0380_03B	5738486.61	6600011.071	212.283
GD0380_03R	5738485.35	6600011.41	210.1926
GD0380_04B	5738483.763	6600008.857	212.161
GD0380_04R	5738483.56	6600009.11	210.1078
GD0380_05B	5738476.078	6600008.154	212.182
GD0380_05R	5738475.94	6600008.24	210.1131
GD0381_01B	5738513.067	6600007.004	214.588
GD0381_01R	5738513.17	6600007.22	209.9138
GD0381_01T	5738513.096	6600006.999	219.4
GD0381_02B	5738504.622	6600003.714	214.897
GD0381_02R	5738504.58	6600003.7	210.1545
GD0381_02T	5738504.704	6600003.607	221.372
GD0381_03R	5738502.52	6599987.58	209.8528
GD0381_04R	5738521.22	6599984.68	209.8222
GD0400_01R	5738437.93	6599997.65	209.7932
GD0400_02R	5738454.46	6599995.11	209.8442
GD0400_03R	5738467.09	6599993.1	209.9941
GD0400_04R	5738469.68	6600007.32	210.3795
GD0400_05B	5738465.057	6600011.204	215.041
GD0400_05M1	5738465.044	6600011.219	218.65
GD0400_05T	5738465.06	6600011.244	222.52
GD0400_06B	5738444.216	6600012.795	215.089
GD0400_06M1	5738444.204	6600012.81	218.814
GD0400_06T	5738444.222	6600012.821	222.588
GD0401_01B	5738472.463	6600029.635	214.914
GD0401_01M1	5738472.466	6600029.617	218.566
GD0401_01T	5738472.468	6600029.609	222.445
GD0402_01B	5738458.955	6600036.122	214.197
GD0402_01M1	5738458.937	6600036.142	219.507
GD0402_01T	5738458.909	6600036.136	225.697
GD0402_02B	5738476.054	6600033.534	214.668
GD0402_02M1	5738476.058	6600033.535	219.993
GD0402_02T	5738476.027	6600033.563	225.663
GD0402_03B	5738471.233	6600042.565	218.811
GD0403_01B	5738458.047	6600032.375	213.967
GD0403_01M1	5738457.959	6600032.358	217.68
GD0403_01M2	5738457.884	6600032.339	221.746
GD0403_01T	5738457.842	6600032.344	225.614
GD0403_02B	5738451.7	6600016.537	213.413
GD0403_02M1	5738451.634	6600016.515	217.741
GD0403_02M2	5738451.603	6600016.52	221.649
GD0403_02T	5738451.588	6600016.487	225.526
GD0420_01B	5738434.494	6600014.569	214.584
GD0420_01M1	5738434.532	6600014.58	218.84
GD0420_01R	5738434.47	6600014.51	209.846
GD0420_01T	5738434.492	6600014.609	226.98
GD0420_02B	5738422.681	6600018.061	215.161
GD0420_02M1	5738422.644	6600018.062	219.01
GD0420_02R	5738422.4	6600018.05	209.8332
GD0420_02T	5738422.615	6600018.057	224.885
GD0420_03R	5738405.11	6600002.94	209.5403
GD0421_01B	5738437.344	6600020.529	215.473
GD0421_01M1	5738437.332	6600020.536	221.759
GD0421_01R	5738437.27	6600020.2	210.0223
GD0421_01T	5738437.338	6600020.563	226.866
GD0421_02B	5738440.877	6600034.808	215.589
GD0421_02M1	5738440.905	6600034.813	220.829
GD0421_02R	5738440.71	6600034.29	210.2824
GD0421_02T	5738440.938	6600034.864	226.09
